chr	pos	pG0	mlp	W	kappa	tau	Qvalue
1	27169200	3.55755351065399e-08	7.44884855878915	6.81585366149309	0	6.81585366149309	0.00416666666666665
1	57015668	4.35421238954664e-09	8.36109039078449	3.99020630127503	0	3.99020630127503	0.0606060606060606
1	89361767	5.56350827433701e-12	11.25465126171	4.85715013492556	0	4.85715013492556	0.0185567010309278
1	113042822	7.45875212026518e-18	17.1273338256929	13.0788238108397	0	13.0788238108397	0.00416666666666665
1	113051074	6.04089227049684e-09	8.21889890913826	2.88296662306581	0	2.88296662306581	0.213186813186813
1	113248791	6.98423093979165e-09	8.15588140873276	4.4792967162902	0	4.4792967162902	0.0308943089430895
1	218525588	2.93843038140837e-08	7.53188459432455	7.29854441934825	0	7.29854441934825	0.00416666666666665
2	43540125	3.86056620992456e-09	8.41334899485872	6.24978532779823	0	6.24978532779823	0.00416666666666665
2	148628050	3.57556696202083e-08	7.44665508422531	5.47658188705629	0	5.47658188705629	0.0123076923076924
3	49895052	3.20844439852678e-08	7.49370548251343	0	4	2.14552576142351	1
4	26806736	1.99749962904608e-10	9.69951329266642	4.43621266078134	0	4.43621266078134	0.0356589147286821
4	81157098	2.46630436444763e-12	11.6079533285337	3.15003373566704	0	3.15003373566704	0.154716981132075
4	81184341	6.27655298877239e-48	47.2022788003635	43.1391363361552	0	43.1391363361552	0.00416666666666665
4	111431444	3.31983005745324e-09	8.47888414731985	8.37060259163384	0	8.37060259163384	0.00416666666666665
4	156638073	3.99400236301837e-15	14.3985916825185	6.50390131518353	0	6.50390131518353	0.00416666666666665
4	156639174	3.15317751382953e-12	11.5012515791707	5.56583851437437	0	5.56583851437437	0.00983606557377059
5	32690199	6.88648782716346e-16	15.1620022158542	5.25118062154799	0	5.25118062154799	0.0142857142857142
5	32710486	1.14596982069832e-12	11.9408268194339	8.1016223768923	0	8.1016223768923	0.00416666666666665
5	32855689	2.99004584762613e-08	7.52432215240521	2.40665030352529	0	2.40665030352529	0.321698739216987
5	32935984	1.06538656407621e-08	7.97249278454045	2.64657888447871	0	2.64657888447871	0.265076335877863
5	114427052	5.85581867343405e-09	8.23241237975469	2.95866860733636	0	2.95866860733636	0.195151515151515
5	127920075	2.04238420275063e-08	7.68986255733266	6.19198553402043	0	6.19198553402043	0.00416666666666665
5	128018413	4.04272306057216e-08	7.39332600820498	2.47935880912242	0	2.47935880912242	0.303392330383481
5	157521990	6.61825668585409e-09	8.17925639295009	4.25774612402207	0	4.25774612402207	0.04
5	157804457	4.98082395764594e-16	15.3026988077103	5.54064087864593	0	5.54064087864593	0.00983606557377059
5	157938502	3.29570339551293e-10	9.48205188055754	3.47165005374935	0	3.47165005374935	0.122543352601156
6	26091179	2.24875941352399e-09	8.64805700564396	3.80572853033531	0	3.80572853033531	0.0728813559322035
6	26159356	4.61960924124657e-08	7.33539475854508	2.26290985525633	0	2.26290985525633	0.351781970649895
6	26338056	5.58530841149173e-10	9.25295284086334	4.46355016063792	0	4.46355016063792	0.0330708661417323
6	31430799	1.4292453810968e-08	7.84489320262421	4.32534195309585	0	4.32534195309585	0.0394557823129251
6	31605199	2.8564708537638e-11	10.5441702029404	3.14406739803595	0	3.14406739803595	0.154716981132075
6	32076499	9.27409708951419e-09	8.0327283618347	2.69616479448566	0	2.69616479448566	0.253128205128205
6	43365360	2.85255754239481e-08	7.54476558614113	4.3130904045736	0	4.3130904045736	0.0394557823129251
6	127090469	1.48067271113215e-12	11.8295409276081	7.53892681239395	0	7.53892681239395	0.00416666666666665
6	127116727	1.74207441063137e-24	23.7589332985612	19.4101070086847	0	19.4101070086847	0.00416666666666665
6	127287812	2.19013431496291e-10	9.65952925024732	5.61378028005382	0	5.61378028005382	0.00727272727272732
6	134196674	1.05227867529762e-09	8.97786923060362	5.20730920719424	0	5.20730920719424	0.0162162162162163
6	160997118	1.20272358665285e-09	8.91983417198256	8.17501926694159	0	8.17501926694159	0.00416666666666665
7	1950337	4.03682008087549e-08	7.393960606454	4.89659451628692	0	4.89659451628692	0.0185567010309278
7	27337867	2.73306918938495e-10	9.56334937372712	8.9376648264191	0	8.9376648264191	0.00416666666666665
7	150543427	2.97660947134031e-08	7.52627814068664	7.26522798490636	0	7.26522798490636	0.00416666666666665
7	150684021	5.26585018704447e-18	17.2785315006924	16.7911718067652	0	16.7911718067652	0.00416666666666665
10	18419972	9.21968941243568e-09	8.03528370896126	4.13719061022666	0	4.13719061022666	0.0497041420118343
10	18571608	5.657806511937e-09	8.24735190881168	6.68861213488614	0	6.68861213488614	0.00416666666666665
10	18711195	7.12079723381782e-15	14.1474713806798	9.99990521112054	0	9.99990521112054	0.00416666666666665
10	63467553	2.81706696838234e-18	17.5502028286787	8.11026131827555	0	8.11026131827555	0.00416666666666665
