chr	pos	pG0	mlp	W	kappa	tau	Qvalue	transcript_id	gene_id	gene_symbol	tss	dist_bp
1	26741544	1.91439639934705e-06	5.71796813122766	5.04596818283697	0	5.04596818283697	0.024	ENST00000636219	ENSG00000117713	ARID1A	26729657	11887
1	51095195	3.95450552660248e-07	6.40290781317603	4.30978946189209	0	4.30978946189209	0.0700000000000001	ENST00000648827	ENSG00000204006	C1orf185	51102221	7026
1	159111484	7.93823889138146e-06	5.10027583568237	4.60785953967333	0	4.60785953967333	0.0461538461538462	ENST00000368129	ENSG00000163568	AIM2	159140508	29024
1	214150445	1.81627063058505e-13	12.7408194396184	12.3232811313575	0	12.3232811313575	0.00540540540540535	ENST00000366957	ENSG00000143499	SMYD2	214281159	130714
2	417167	1.10088082031259e-05	4.95825969454521	4.64233898002907	0	4.64233898002907	0.0461538461538462	ENST00000452023	ENSG00000189292	ALKAL2	288851	128316
2	43494221	6.42012988604997e-09	8.19245618560339	5.34033669023083	0	5.34033669023083	0.00952380952380949	ENST00000407351	ENSG00000115970	THADA	43570515	76294
2	65276452	1.5521111880495e-07	6.80907717056063	5.24125992305755	0	5.24125992305755	0.017391304347826	ENST00000377982	ENSG00000138071	ACTR2	65227837	48615
2	165545615	6.7090063026355e-06	5.17334180013508	4.29538634283586	0	4.29538634283586	0.0700000000000001	ENST00000342316	ENSG00000178662	CSRNP3	165572339	26724
2	165547731	9.67697914839525e-08	7.01426019475096	6.53542148697974	0	6.53542148697974	0.00540540540540535	ENST00000342316	ENSG00000178662	CSRNP3	165572339	24608
2	220227886	1.42931088851208e-05	4.84487329781472	4.47708798751603	0	4.47708798751603	0.0628571428571429	ENST00000413743	ENSG00000114923	SLC4A3	219631130	596756
2	227020653	3.87984073270751e-13	12.4111861018094	5.25048806942588	0	5.25048806942588	0.017391304347826	ENST00000682098	ENSG00000081052	COL4A4	227010501	10152
3	12389313	2.27409193607134e-09	8.64319198181127	4.97715259549159	0	4.97715259549159	0.0339622641509434	ENST00000683700	ENSG00000132170	PPARG	12379859	9454
3	123054355	2.94348182656139e-06	5.531138641234	4.66488210466359	0	4.66488210466359	0.0433333333333334	ENST00000316218	ENSG00000065485	PDIA5	123067025	12670
3	123065778	5.59125025273332e-18	17.2524910691885	7.20559930540386	0	7.20559930540386	0.00540540540540535	ENST00000316218	ENSG00000065485	PDIA5	123067025	1247
3	185506401	4.06876873300869e-17	16.3905369945489	9.24529828971843	0	9.24529828971843	0.00540540540540535	ENST00000421852	ENSG00000163900	TMEM41A	185499035	7366
3	185515274	1.23119669781266e-07	6.90967255799437	5.01911008944963	0	5.01911008944963	0.0274509803921568	ENST00000435679	ENSG00000163898	LIPH	185517081	1807
3	186787769	5.82055291318474e-05	4.2350357583502	4.08268365523184	0	4.08268365523184	0.0967032967032968	ENST00000498746	ENSG00000156976	EIF4A2	186784203	3566
4	6324785	2.03155273589861e-09	8.6921718995928	7.72059721564482	0	7.72059721564482	0.00540540540540535	ENST00000673642	ENSG00000109501	WFS1	6277657	47128
4	18834819	7.2341899806411e-07	6.14061009020245	5.70312094516445	0	5.70312094516445	0.00540540540540535	ENST00000326877	ENSG00000178177	LCORL	18021876	812943
5	101662386	4.68671963535442e-07	6.32913102566911	4.82076076188432	0	4.82076076188432	0.0344827586206897	ENST00000310954	ENSG00000173930	SLCO4C1	102296284	633898
6	7125529	7.74046496493856e-07	6.11123295073287	5.83909918387231	0	5.83909918387231	0.00540540540540535	ENST00000483150	ENSG00000124782	RREB1	7139245	13716
6	7240876	1.82276299494822e-11	10.739269796884	8.15231678233764	0	8.15231678233764	0.00540540540540535	ENST00000479485	ENSG00000124783	SSR1	7301363	60487
6	20368246	1.43361391206149e-05	4.84356779318542	4.48587054099988	0	4.48587054099988	0.0628571428571429	ENST00000346618	ENSG00000112242	E2F3	20401879	33633
6	20536879	1.59560068672635e-06	5.79707578544731	5.37769487088441	0	5.37769487088441	0.00952380952380949	ENST00000613575	ENSG00000145996	CDKAL1	20534481	2398
6	20652717	2.67152697769349e-16	15.5732404358534	8.40238429790881	0	8.40238429790881	0.00540540540540535	ENST00000378610	ENSG00000145996	CDKAL1	20546341	106376
6	32373378	6.05429209224546e-09	8.217936630127	7.44399461842696	0	7.44399461842696	0.00540540540540535	ENST00000612031	ENSG00000204296	TSBP1	32371912	1466
6	32550550	8.64276849835262e-11	10.0633471196778	4.35005474008642	0	4.35005474008642	0.0657894736842106	ENST00000374975	ENSG00000198502	HLA-DRB5	32530287	20263
6	32626272	5.17133551810399e-17	16.286397284132	7.49240626319065	0	7.49240626319065	0.00540540540540535	ENST00000422863	ENSG00000196735	HLA-DQA1	32628179	1907
6	32628189	1.80539349505287e-11	10.743428126664	8.46271286026425	0	8.46271286026425	0.00540540540540535	ENST00000422863	ENSG00000196735	HLA-DQA1	32628179	10
