chr	pos	pG0	mlp	W	kappa	tau	Qvalue	transcript_id	gene_id	gene_symbol	tss	dist_bp
1	2164823	1.39217096766618e-06	5.85630742725807	5.12011922303652	0	5.12011922303652	0.0168674698795182	ENST00000497183	ENSG00000067606	PRKCZ	2134990	29833
1	10759741	0.000157437098916766	3.80289292155532	3.64296838361346	0	3.64296838361346	0.0982078853046595	ENST00000377022	ENSG00000130940	CASZ1	10796646	36905
1	11834709	1.79025126520315e-06	5.74708601067762	5.45379886917885	0	5.45379886917885	0.0123076923076924	ENST00000376480	ENSG00000175206	NPPA	11847783	13074
1	27169200	3.55755351065399e-08	7.44884855878915	6.81585366149309	0	6.81585366149309	0.00416666666666665	ENST00000374084	ENSG00000090020	SLC9A1	27166981	2219
1	57015668	4.35421238954664e-09	8.36109039078449	3.99020630127503	0	3.99020630127503	0.0606060606060606	ENST00000535057	ENSG00000021852	C8B	56966140	49528
1	62159403	9.32900539921962e-05	4.03016465557351	3.77496718402029	0	3.77496718402029	0.0783673469387756	ENST00000498273	ENSG00000240563	L1TD1	62194849	35446
1	82616058	1.60639571743968e-05	4.79414746233811	4.50751372399224	0	4.50751372399224	0.0285714285714285	ENST00000402328	ENSG00000117114	ADGRL2	81979889	636169
1	89361767	5.56350827433701e-12	11.25465126171	4.85715013492556	0	4.85715013492556	0.0185567010309278	ENST00000370456	ENSG00000183347	GBP6	89364059	2292
1	112973936	0.000110107476064969	3.95818319234947	3.65456761673131	0	3.65456761673131	0.0974169741697417	ENST00000679803	ENSG00000155380	SLC16A1	112957593	16343
1	113042822	7.45875212026518e-18	17.1273338256929	13.0788238108397	0	13.0788238108397	0.00416666666666665	ENST00000361127	ENSG00000198799	LRIG2	113073198	30376
1	113240376	0.000108656199857114	3.96394548805571	3.70884311124849	0	3.70884311124849	0.09453125	ENST00000307546	ENSG00000081026	MAGI3	113390515	150139
1	113248791	6.98423093979165e-09	8.15588140873276	4.4792967162902	0	4.4792967162902	0.0308943089430895	ENST00000307546	ENSG00000081026	MAGI3	113390515	141724
1	113265881	3.93683615776828e-05	4.4048526591894	3.97965154505582	0	3.97965154505582	0.0616915422885571	ENST00000307546	ENSG00000081026	MAGI3	113390515	124634
1	115818591	8.52455082293763e-06	5.0693284956503	4.68232359129296	0	4.68232359129296	0.0283018867924529	ENST00000429731	ENSG00000177551	NHLH2	115840741	22150
1	115871635	4.36774939136934e-05	4.35974228813019	4.27379384254974	0	4.27379384254974	0.0394736842105263	ENST00000369506	ENSG00000177551	NHLH2	115843917	27718
1	153662423	1.75458132641038e-06	5.75582649704521	5.68799065133063	0	5.68799065133063	0.00727272727272732	ENST00000368685	ENSG00000143553	SNAPIN	153658703	3720
1	156171234	0.000120496267369104	3.91902640608587	3.6866945729573	0	3.6866945729573	0.0946564885496184	ENST00000368282	ENSG00000196189	SEMA4A	156154371	16863
1	168733424	4.42262105380979e-05	4.35432027096044	4.02006820581169	0	4.02006820581169	0.0591836734693878	ENST00000367817	ENSG00000143196	DPT	168729206	4218
1	195937560	0.000134594279054512	3.87097339945721	3.69452403022764	0	3.69452403022764	0.0946564885496184	ENST00000609185	ENSG00000162687	KCNT2	196608359	670799
1	218525588	2.93843038140837e-08	7.53188459432455	7.29854441934825	0	7.29854441934825	0.00416666666666665	ENST00000366929	ENSG00000092969	TGFB2	218346235	179353
